city,country,latitude,longitude,temperature,humidity,cloudiness,wind speed
North Platte,US,41.12,-100.77,65.08,82,90,5.88
Busselton,AU,-33.65,115.33,41.5,67,0,7.2
Bredasdorp,ZA,-34.53,20.04,64.4,77,1,8.34
Jamestown,US,42.1,-79.24,72.61,77,1,1.34
Longyearbyen,SJ,78.22,15.64,42.8,75,40,21.92
Morón,AR,-34.65,-58.62,57.27,93,89,5.82
Dikson,RU,73.51,80.55,37.0,80,33,16.24
Tamandaré,BR,-8.76,-35.1,81.54,65,32,14.03
Rikitea,PF,-23.12,-134.97,75.88,82,77,14.85
Pochutla,MX,15.74,-96.47,84.78,74,40,4.81
Shingū,JP,33.73,135.98,67.82,88,96,3.91
Atuona,PF,-9.8,-139.03,79.66,76,84,13.38
Porosozero,RU,62.72,32.73,61.14,44,0,8.7
Jiménez,MX,28.33,-105.4,77.0,31,20,5.82
Garoowe,SO,8.41,48.48,90.45,33,77,20.33
Bengkulu,ID,-3.8,102.27,77.34,88,68,4.88
Richards Bay,ZA,-28.78,32.04,67.98,68,0,10.27
Mataura,NZ,-46.19,168.86,39.0,83,54,3.0
Cabo San Lucas,MX,22.89,-109.91,84.99,31,5,2.24
Mokrousovo,RU,55.81,66.77,61.0,68,100,7.78
Vaini,TO,-21.2,-175.2,73.4,88,20,6.93
Puerto Ayora,EC,-0.74,-90.35,69.01,96,94,5.01
Ushuaia,AR,-54.8,-68.3,33.8,86,90,4.7
Punta Arenas,CL,-53.15,-70.92,37.2,76,100,9.17
Chatham,GB,51.38,0.53,69.39,55,66,13.42
Port Huron,US,42.97,-82.42,81.5,54,1,8.05
Bluff,NZ,-46.6,168.33,39.0,83,61,3.0
Lompoc,US,34.64,-120.46,56.3,87,90,3.36
Krasnosel'kup,RU,65.7,82.47,46.27,86,100,15.57
Garmisch-Partenkirchen,DE,47.49,11.1,61.45,59,75,12.75
Uauá,BR,-9.84,-39.48,81.07,54,93,16.98
Dombarovskiy,RU,50.76,59.54,74.1,29,0,6.04
Pangnirtung,CA,66.15,-65.71,37.4,93,75,12.75
Yellowknife,CA,62.46,-114.35,58.64,54,20,17.22
Port Lincoln,AU,-34.73,135.87,56.3,73,78,27.11
Ancud,CL,-41.87,-73.82,47.17,100,90,9.17
Butaritari,KI,3.07,172.79,83.26,73,90,11.65
Killam,CA,52.78,-111.85,55.83,67,6,4.29
Hithadhoo,MV,-0.6,73.08,83.82,73,76,7.05
Hobart,AU,-42.88,147.33,45.59,93,40,5.82
Bukachacha,RU,52.98,116.92,50.16,78,2,3.96
Jatai,BR,-17.88,-51.71,80.58,42,0,10.31
Doha,QA,25.29,51.53,93.29,66,0,8.05
Ekhabi,RU,53.51,142.97,41.18,93,100,8.95
Nerang,AU,-27.98,153.33,55.27,100,75,2.24
Te Anau,NZ,-45.42,167.72,35.92,89,70,1.59
Avarua,CK,-21.21,-159.78,69.8,73,87,4.7
Saint George,US,37.1,-113.58,75.13,17,1,4.7
Upernavik,GL,72.79,-56.15,42.01,69,0,5.77
East London,ZA,-33.02,27.91,71.6,53,0,11.41
Barrow,US,71.29,-156.79,33.8,86,90,11.41
Mar del Plata,AR,-38.0,-57.56,52.12,66,100,3.36
Ilulissat,GL,69.22,-51.1,46.4,52,5,4.7
Albany,US,42.6,-73.97,82.71,53,0,2.75
Faanui,PF,-16.48,-151.75,79.45,79,98,7.09
Saskylakh,RU,71.92,114.08,73.99,41,100,6.13
Baghlan,AF,36.13,68.71,87.3,13,0,5.66
Havre-St-Pierre,CA,50.23,-63.6,57.2,82,90,6.93
Rio Grande,BR,-32.03,-52.1,66.25,83,40,6.93
Vestmannaeyjar,IS,63.44,-20.27,50.0,93,75,25.28
Kununurra,AU,-15.77,128.73,66.2,34,0,7.16
Salme,NP,28.04,85.09,69.8,100,75,3.36
San Lorenzo,PY,-25.33,-57.53,84.2,54,0,16.11
Effingham County,US,32.37,-81.33,83.98,51,40,3.36
São João do Piauí,BR,-8.36,-42.25,88.47,38,15,11.45
Magadan,RU,59.57,150.8,45.99,91,9,2.73
Anadyr,RU,64.75,177.48,53.26,62,50,9.98
Esperance,AU,-33.87,121.9,46.4,81,0,6.93
Provideniya,RU,64.38,-173.3,51.49,57,0,6.96
Chokurdakh,RU,70.63,147.92,75.65,34,1,7.52
Hilo,US,19.73,-155.09,65.86,83,1,3.36
Sitka,US,57.05,-135.33,51.8,87,90,8.05
Kashiwazaki,JP,37.37,138.55,57.0,91,3,5.21
Mocuba,MZ,-16.84,36.99,67.14,85,72,3.65
Kaitong,CN,44.81,123.15,70.43,82,100,8.81
Kuril'sk,RU,45.23,147.88,47.7,95,100,5.08
Chui,UY,-33.7,-53.46,60.66,80,33,2.39
San Buenaventura,MX,27.08,-101.53,83.77,61,15,4.03
Poum,NC,-20.23,164.02,71.28,81,15,13.04
Port Hardy,CA,50.7,-127.42,57.2,100,75,3.22
Carnarvon,AU,-24.87,113.63,66.2,88,0,10.29
Kapaa,US,22.08,-159.32,73.18,83,75,16.11
Hofn,IS,64.25,-15.21,51.26,92,100,10.45
Geraldton,AU,-28.77,114.6,55.4,76,0,6.93
Port-Gentil,GA,-0.72,8.78,82.4,74,40,12.75
Hamilton,US,39.18,-84.53,83.97,54,20,6.93
Ponta do Sol,PT,32.67,-17.1,70.74,60,20,16.11
Nikolskoye,RU,59.7,30.79,63.45,48,100,11.18
Hasaki,JP,35.73,140.83,69.62,88,75,5.82
Auki,SB,-8.77,160.7,77.41,84,68,5.48
Vardø,NO,70.37,31.11,50.0,66,8,10.29
Yeppoon,AU,-23.13,150.73,62.6,88,90,6.93
Hermanus,ZA,-34.42,19.23,63.0,85,36,1.01
Constitución,CL,-35.33,-72.42,54.91,85,100,16.06
Rome,US,43.21,-75.46,79.56,61,1,3.15
Vostok,RU,46.49,135.88,45.91,100,63,4.25
